External ID,Inventory Valuation
__export__.product_category_1_ca1a5e3b,Periodic (at closing)
product.product_category_expenses,Periodic (at closing)
__import__.new_pc_1,Periodic (at closing)
__import__.new_pc_2,Periodic (at closing)
__import__.new_pc_3,Periodic (at closing)
__import__.new_pc_4,Periodic (at closing)
delivery.product_category_deliveries,Periodic (at closing)
__export__.product_category_1896_e773602c,Periodic (at closing)
__export__.product_category_1906_2a260812,Periodic (at closing)
__export__.product_category_1908_47a0ade5,Periodic (at closing)
__export__.product_category_2878_b8304292,Periodic (at closing)
__export__.product_category_3282_5c50c65d,Periodic (at closing)
__export__.product_category_3283_4f9ad5af,Periodic (at closing)
__export__.product_category_3284_17585f71,Periodic (at closing)
__export__.product_category_3285_908d6f5b,Periodic (at closing)
__export__.product_category_3286_343a1c83,Periodic (at closing)
__export__.product_category_3291_13f3657c,Periodic (at closing)
__export__.product_category_3292_26ebdf8f,Periodic (at closing)
__export__.product_category_3294_987ca084,Periodic (at closing)
__export__.product_category_3298_c7174ae8,Periodic (at closing)
__export__.product_category_3299_fab6c343,Periodic (at closing)
__export__.product_category_3300_b52701e9,Periodic (at closing)
__export__.product_category_3301_e4451e8c,Periodic (at closing)
__export__.product_category_3303_bbca3519,Periodic (at closing)
__export__.product_category_3320_92de9749,Periodic (at closing)
__export__.product_category_3321_526e05ba,Periodic (at closing)
__export__.product_category_3322_967f4585,Periodic (at closing)
__export__.product_category_3323_dbadcff3,Periodic (at closing)
__export__.product_category_3324_9c7e6e4c,Periodic (at closing)
__export__.product_category_3325_ffa2bc24,Periodic (at closing)
__export__.product_category_3326_a9641d09,Periodic (at closing)
__export__.product_category_3327_818d4158,Periodic (at closing)
__export__.product_category_3328_0e741a16,Periodic (at closing)
__export__.product_category_3329_955610ef,Periodic (at closing)
__export__.product_category_3330_0f8f8cdd,Periodic (at closing)
__export__.product_category_3331_42d6dd01,Periodic (at closing)
__export__.product_category_3332_c0213c6d,Periodic (at closing)
__export__.product_category_3333_ff0be4c8,Periodic (at closing)
__export__.product_category_3334_30f3c768,Periodic (at closing)
__export__.product_category_3377_68f744bb,Periodic (at closing)
__export__.product_category_3378_58d91117,Periodic (at closing)
__export__.product_category_3379_ea11ca34,Periodic (at closing)
__export__.product_category_3380_cb3af103,Periodic (at closing)
__export__.product_category_3381_ae350eaf,Periodic (at closing)
__export__.product_category_3382_52e2ccdc,Periodic (at closing)
__export__.product_category_3383_c86b62ee,Periodic (at closing)
__export__.product_category_3385_94240163,Periodic (at closing)
__export__.product_category_3388_bb325bf4,Periodic (at closing)
__export__.product_category_3390_24194726,Periodic (at closing)
__export__.product_category_3391_556adfc2,Periodic (at closing)
__export__.product_category_3392_f14f0b11,Periodic (at closing)
__export__.product_category_3393_0ab4ede0,Periodic (at closing)
__export__.product_category_3395_f57c809b,Periodic (at closing)
__export__.product_category_3396_3e900dcb,Periodic (at closing)
__export__.product_category_3397_11679b0f,Periodic (at closing)
__export__.product_category_3398_07a85175,Periodic (at closing)
__export__.product_category_3399_cb1fef6d,Periodic (at closing)
__export__.product_category_3405_572ea9ac,Periodic (at closing)
__export__.product_category_3406_22d07546,Periodic (at closing)
__export__.product_category_3410_cda444f5,Periodic (at closing)
__export__.product_category_3418_63901857,Periodic (at closing)
__export__.product_category_3420_af953f8c,Periodic (at closing)
__export__.product_category_3421_b9f2d3d8,Periodic (at closing)
__export__.product_category_3422_214ae66d,Periodic (at closing)
__export__.product_category_3423_84ffab75,Periodic (at closing)
__export__.product_category_3424_b9c29295,Periodic (at closing)
__export__.product_category_3425_6e00d62b,Periodic (at closing)
__export__.product_category_3426_aa200459,Periodic (at closing)
__export__.product_category_3427_6a7f9da7,Periodic (at closing)
__export__.product_category_3429_56bfe66b,Periodic (at closing)
__export__.product_category_3430_a4e57b3d,Periodic (at closing)
__export__.product_category_3431_1d95c000,Periodic (at closing)
__export__.product_category_3432_fe241044,Periodic (at closing)
__export__.product_category_3434_5212ee8b,Periodic (at closing)
__export__.product_category_3573_9fd73ff9,Periodic (at closing)
__export__.product_category_3580_90496ca9,Periodic (at closing)
__export__.product_category_3582_2591cd4b,Periodic (at closing)
__export__.product_category_3587_b0486ecd,Periodic (at closing)
__export__.product_category_3588_a707314e,Periodic (at closing)
__export__.product_category_3589_7fa0f19a,Periodic (at closing)
__export__.product_category_3590_8a613db8,Periodic (at closing)
__export__.product_category_3591_e70a5155,Periodic (at closing)
__export__.product_category_3592_fead2594,Periodic (at closing)
__export__.product_category_3593_264057ec,Periodic (at closing)
__export__.product_category_3594_68bfc509,Periodic (at closing)
__export__.product_category_3595_4f5df176,Periodic (at closing)
__export__.product_category_3596_176929b6,Periodic (at closing)
__export__.product_category_3597_7e926548,Periodic (at closing)
__export__.product_category_3598_30c0fe99,Periodic (at closing)
__export__.product_category_3599_10008b78,Periodic (at closing)
__export__.product_category_3600_816da8ed,Periodic (at closing)
__export__.product_category_3601_7ed1665a,Periodic (at closing)
__export__.product_category_3602_0585878c,Periodic (at closing)
__export__.product_category_3603_0b740203,Periodic (at closing)
__export__.product_category_3604_fdd27f12,Periodic (at closing)
__export__.product_category_3614_cd7323c5,Periodic (at closing)
__export__.product_category_3615_22b6ebc3,Periodic (at closing)
__export__.product_category_3616_17a68cba,Periodic (at closing)
__export__.product_category_3617_0abbe59d,Periodic (at closing)
__export__.product_category_3618_efcb78a9,Periodic (at closing)
__export__.product_category_3619_180f4647,Periodic (at closing)
__export__.product_category_3620_2955c9c7,Periodic (at closing)
__export__.product_category_3621_9a276b04,Periodic (at closing)
__export__.product_category_3622_5b924345,Periodic (at closing)
