"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
" ဆီပုံး ","3291","Standard Price","Periodic (at closing)","","","","","","",""
" မယ်လမင်း Group","1906","Standard Price","Periodic (at closing)","","","","","","",""
" မယ်လမင်း Group / Gold မယ်လမင်း","3413","Standard Price","Periodic (at closing)","","","","","","",""
" မယ်လမင်း Group / Lion မယ်လမင်း","647","Standard Price","Periodic (at closing)","","","","","","",""
" မယ်လမင်း Group / Mango မယ်လမင်း","645","Standard Price","Periodic (at closing)","","","","","","",""
" မယ်လမင်း Group / Mango မယ်လမင်းအပါး","646","Standard Price","Periodic (at closing)","","","","","","",""
" မယ်လမင်း Group / Marble မယ်လမင်း","3411","Standard Price","Periodic (at closing)","","","","","","",""
" မယ်လမင်း Group / မယ်လမင်း(အမဲ)","3407","Standard Price","Periodic (at closing)","","","","","","",""
"001-Accessories","3619","Standard Price","Periodic (at closing)","","","","","","",""
"001-Accessories/Aluminium Coil","3620","Standard Price","Periodic (at closing)","","","","","","",""
"001-Accessories/Heater Coil","3621","Standard Price","Periodic (at closing)","","","","","","",""
"001-Filter","3622","Standard Price","Periodic (at closing)","","","","","","",""
"001-Raw Recycle","3573","Standard Price","Periodic (at closing)","","","","","","",""
"001-Sticker/King","3616","Standard Price","Periodic (at closing)","","","","","","",""
"001-Sticker/SOGO","3617","Standard Price","Periodic (at closing)","","","","","","",""
"001-Sticker/Yamaha","3618","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery","3382","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery-Domino","3423","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery-Filter","3420","Standard Price","Periodic (at closing)","","","","","","",""
"Accessories for Machinery-Inject Printer","3424","Standard Price","Periodic (at closing)","","","","","","",""
"Accessory For Machinery(Hose)","3626","Standard Price","Periodic (at closing)","","","","","","",""
"Adapter","3300","Standard Price","Periodic (at closing)","","","","","","",""
"All","1","Standard Price","Periodic (at closing)","","","","","","",""
"All / Deliveries","680","Standard Price","Periodic (at closing)","","","","","","",""
"All / Expenses","3","Standard Price","Periodic (at closing)","","","","","","",""
"Ball Valve Accessory","3614","Standard Price","Periodic (at closing)","","","","","","",""
"Ball Valve စွပ်","269","Standard Price","Periodic (at closing)","","","","","","",""
"Ball Valve ရစ်","3396","Standard Price","Periodic (at closing)","","","","","","",""
"Bio Ball","3387","Standard Price","Periodic (at closing)","","","","","","",""
"Black Series (Polishing)","3593","Standard Price","Periodic (at closing)","","","","","","",""
"COVID Face Shield","3288","Standard Price","Periodic (at closing)","","","","","","",""
"COVID အမှိုက်ပုံး","3289","Standard Price","Periodic (at closing)","","","","","","",""
"Calendar Clip","3287","Standard Price","Periodic (at closing)","","","","","","",""
"Ceiling","280","Standard Price","Periodic (at closing)","","","","","","",""
"Clip","633","Standard Price","Periodic (at closing)","","","","","","",""
"Comb","2872","Standard Price","Periodic (at closing)","","","","","","",""
"Compound","3430","Standard Price","Periodic (at closing)","","","","","","",""
"Compound(Hose)","3630","Standard Price","Periodic (at closing)","","","","","","",""
"Corner","284","Standard Price","Periodic (at closing)","","","","","","",""
"Cross Tee Ball Valve","3290","Standard Price","Periodic (at closing)","","","","","","",""
"Damage Gold Lex Window Profile","3603","Standard Price","Periodic (at closing)","","","","","","",""
"Damage Mango Window Profile","3602","Standard Price","Periodic (at closing)","","","","","","",""
"Damage PVC E-Pipe","3600","Standard Price","Periodic (at closing)","","","","","","",""
"Damage SOGO Window Profile","3601","Standard Price","Periodic (at closing)","","","","","","",""
"Damage Trunking","3432","Standard Price","Periodic (at closing)","","","","","","",""
"Design Paper- Gold Series","3591","Standard Price","Periodic (at closing)","","","","","","",""
"Design Paper-Lion","3597","Standard Price","Periodic (at closing)","","","","","","",""
"Design Paper-Melamine","3592","Standard Price","Periodic (at closing)","","","","","","",""
"Design Paper-Urea","3595","Standard Price","Periodic (at closing)","","","","","","",""
"Door Lock","286","Standard Price","Periodic (at closing)","","","","","","",""
"Dye Powder","3632","Standard Price","Periodic (at closing)","","","","","","",""
"FG-Damage","3604","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Box","3322","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Diesel","3325","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Label","3321","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Labour","3320","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Metal","3323","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Meter","3324","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Other","3326","Standard Price","Periodic (at closing)","","","","","","",""
"Factory Plastic","3327","Standard Price","Periodic (at closing)","","","","","","",""
"File Clip Frame","3589","Standard Price","Periodic (at closing)","","","","","","",""
"Finished Goods ","3379","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group.","373","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Brass Faucet Elbow","274","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Brass Faucet Socket","275","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Brass Faucet Tee","276","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Bushing","3390","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Cap","278","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Cap DL","279","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Clean Out Plug","282","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Cross TY DL","285","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Cross Tee","3283","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / ELBOW","287","Standard Price","Periodic (at closing)","","","","","","",""
"Fitting Group. / Elbow (DL)","288","Standard Price","Periodic (at closing)","","","","","","",""
